"","Age","Career","Marital_Statues","Education","Mortage","Personal_Loan","Contact_Type","Number_of_Contacts","Subscribed","Cus_ID"
"1",56,"housemaid","married","primary education","no","no","telephone",1,"no",1
"2",57,"services","married","secondary education","no","no","telephone",1,"no",2
"3",37,"services","married","secondary education","yes","no","telephone",1,"no",3
"4",40,"administration","married","primary education","no","no","telephone",1,"no",4
"5",56,"services","married","secondary education","no","yes","telephone",1,"no",5
"6",45,"services","married","secondary education","no","no","telephone",1,"no",6
"7",59,"administration","married","professional education","no","no","telephone",1,"no",7
"8",24,"technician","single","professional education","yes","no","telephone",1,"no",8
"9",25,"services","single","secondary education","yes","no","telephone",1,"no",9
"10",25,"services","single","secondary education","yes","no","telephone",1,"no",10
"11",29,"blue-collar","single","secondary education","no","yes","telephone",1,"no",11
"12",57,"housemaid","divorced","primary education","yes","no","telephone",1,"no",12
"13",35,"blue-collar","married","primary education","yes","no","telephone",1,"no",13
"14",54,"retired","married","secondary education","yes","yes","telephone",1,"no",14
"15",35,"blue-collar","married","primary education","yes","no","telephone",1,"no",15
"16",46,"blue-collar","married","primary education","yes","yes","telephone",1,"no",16
"17",50,"blue-collar","married","secondary education","yes","yes","telephone",1,"no",17
"18",39,"management","single","secondary education","no","no","telephone",1,"no",18
"19",30,"unemployed","married","secondary education","no","no","telephone",1,"no",19
"20",55,"blue-collar","married","primary education","yes","no","telephone",1,"no",20
"21",55,"retired","single","secondary education","yes","no","telephone",1,"no",21
"22",41,"technician","single","secondary education","yes","no","telephone",1,"no",22
"23",37,"administration","married","secondary education","yes","no","telephone",1,"no",23
"24",35,"technician","married","university education","no","yes","telephone",1,"no",24
"25",39,"self-employed","married","secondary education","no","no","telephone",1,"no",25
"26",54,"technician","single","university education","no","no","telephone",2,"no",26
"27",54,"management","married","primary education","yes","no","telephone",1,"no",27
"28",54,"blue-collar","divorced","primary education","no","no","telephone",1,"no",28
"29",34,"services","married","secondary education","no","no","telephone",1,"no",29
"30",52,"technician","married","secondary education","yes","no","telephone",1,"no",30
"31",41,"administration","married","university education","yes","no","telephone",1,"no",31
"32",56,"technician","married","primary education","yes","no","telephone",1,"no",32
"33",32,"entrepreneur","married","secondary education","yes","no","telephone",1,"no",33
"34",38,"administration","single","professional education","no","no","telephone",1,"no",34
"35",57,"administration","married","university education","no","yes","telephone",1,"no",35
"36",44,"administration","married","university education","yes","no","telephone",1,"no",36
"37",42,"technician","single","professional education","no","no","telephone",1,"no",37
"38",57,"administration","married","university education","yes","yes","telephone",1,"no",38
"39",40,"blue-collar","married","secondary education","no","yes","telephone",1,"no",39
"40",35,"administration","married","university education","yes","no","telephone",1,"no",40
"41",45,"blue-collar","married","secondary education","yes","no","telephone",2,"no",41
"42",54,"administration","married","secondary education","no","no","telephone",1,"no",42
"43",39,"housemaid","married","primary education","no","yes","telephone",1,"no",43
"44",60,"administration","married","secondary education","no","no","telephone",1,"no",44
"45",53,"administration","single","professional education","no","no","telephone",1,"no",45
"46",55,"blue-collar","married","primary education","no","no","telephone",2,"no",46
"47",55,"technician","married","professional education","yes","no","telephone",1,"no",47
"48",50,"management","married","university education","no","yes","telephone",1,"no",48
"49",45,"services","married","secondary education","yes","no","telephone",1,"no",49
"50",55,"unemployed","married","professional education","yes","yes","telephone",1,"no",50
"51",25,"technician","single","university education","yes","no","telephone",1,"no",51
"52",47,"entrepreneur","married","university education","no","no","telephone",1,"no",52
"53",51,"blue-collar","married","secondary education","yes","no","telephone",1,"no",53
"54",42,"blue-collar","married","primary education","yes","no","telephone",1,"no",54
"55",42,"blue-collar","married","primary education","no","no","telephone",1,"no",55
"56",48,"administration","married","secondary education","no","no","telephone",1,"no",56
"57",37,"administration","married","university education","no","no","telephone",1,"no",57
"58",44,"blue-collar","single","secondary education","yes","no","telephone",1,"no",58
"59",56,"administration","married","secondary education","yes","no","telephone",2,"no",59
"60",44,"blue-collar","single","primary education","yes","yes","telephone",1,"no",60
"61",41,"management","married","primary education","no","no","telephone",1,"no",61
"62",44,"management","divorced","university education","yes","no","telephone",1,"no",62
"63",47,"administration","married","university education","yes","no","telephone",1,"no",63
"64",37,"administration","married","university education","yes","no","telephone",1,"no",64
"65",41,"blue-collar","divorced","primary education","yes","no","telephone",1,"yes",65
"66",55,"technician","married","university education","no","no","telephone",1,"no",66
"67",33,"services","married","secondary education","yes","no","telephone",2,"no",67
"68",42,"blue-collar","married","secondary education","no","no","telephone",1,"no",68
"69",50,"blue-collar","married","primary education","yes","no","telephone",1,"no",69
"70",38,"administration","married","secondary education","no","no","telephone",2,"no",70
"71",49,"entrepreneur","married","university education","yes","no","telephone",1,"yes",71
"72",38,"technician","single","university education","no","yes","telephone",1,"no",72
"73",31,"administration","divorced","secondary education","no","no","telephone",1,"no",73
"74",41,"management","married","primary education","no","no","telephone",2,"no",74
"75",39,"administration","married","university education","yes","yes","telephone",1,"no",75
"76",49,"technician","married","secondary education","no","no","telephone",1,"yes",76
"77",34,"administration","married","secondary education","yes","no","telephone",2,"no",77
"78",35,"administration","married","university education","yes","no","telephone",2,"no",78
"79",33,"unemployed","married","secondary education","no","no","telephone",1,"no",79
"80",42,"blue-collar","married","primary education","no","yes","telephone",1,"no",80
"81",45,"services","married","professional education","yes","no","telephone",1,"no",81
"82",42,"management","married","university education","no","no","telephone",1,"no",82
"83",53,"administration","divorced","university education","no","no","telephone",1,"no",83
"84",37,"technician","single","professional education","no","no","telephone",1,"no",84
"85",44,"blue-collar","married","primary education","no","no","telephone",1,"no",85
"86",49,"blue-collar","married","primary education","no","no","telephone",3,"no",86
"87",52,"administration","divorced","university education","no","no","telephone",1,"no",87
"88",52,"administration","divorced","university education","no","no","telephone",1,"no",88
"89",43,"services","single","secondary education","no","no","telephone",1,"no",89
"90",34,"housemaid","married","primary education","yes","no","telephone",2,"no",90
"91",35,"administration","married","secondary education","yes","no","telephone",2,"no",91
"92",60,"retired","divorced","university education","no","no","telephone",1,"no",92
"93",58,"unemployed","married","primary education","no","no","telephone",2,"no",93
"94",35,"services","divorced","secondary education","yes","no","telephone",1,"no",94
"95",55,"blue-collar","married","secondary education","yes","no","telephone",2,"no",95
"96",37,"management","married","university education","no","no","telephone",2,"no",96
"97",36,"blue-collar","married","secondary education","no","no","telephone",1,"no",97
"98",52,"administration","divorced","university education","no","no","telephone",2,"no",98
"99",48,"blue-collar","divorced","primary education","yes","no","telephone",1,"no",99
"100",40,"blue-collar","married","secondary education","yes","no","telephone",1,"no",100
"101",49,"blue-collar","divorced","secondary education","no","no","telephone",1,"no",101
"102",41,"services","married","secondary education","no","no","telephone",1,"no",102
"103",45,"technician","married","secondary education","yes","no","telephone",1,"no",103
"104",32,"administration","married","university education","yes","yes","telephone",1,"no",104
"105",42,"administration","married","university education","no","yes","telephone",2,"no",105
"106",50,"administration","married","primary education","no","no","telephone",1,"no",106
"107",31,"technician","divorced","professional education","yes","yes","telephone",1,"no",107
