Age,Career,Marital_Statues,Education,Mortage,Personal_Loan,Contact_Type,Number_of_Contacts,Subscribed
56,housemaid,married,primary education,no,no,telephone,1,no
57,services,married,secondary education,no,no,telephone,1,no
37,services,married,secondary education,yes,no,telephone,1,no
40,administration,married,primary education,no,no,telephone,1,no
56,services,married,secondary education,no,yes,telephone,1,no
45,services,married,secondary education,no,no,telephone,1,no
59,administration,married,professional education,no,no,telephone,1,no
24,technician,single,professional education,yes,no,telephone,1,no
25,services,single,secondary education,yes,no,telephone,1,no
25,services,single,secondary education,yes,no,telephone,1,no
29,blue-collar,single,secondary education,no,yes,telephone,1,no
57,housemaid,divorced,primary education,yes,no,telephone,1,no
35,blue-collar,married,primary education,yes,no,telephone,1,no
54,retired,married,secondary education,yes,yes,telephone,1,no
35,blue-collar,married,primary education,yes,no,telephone,1,no
46,blue-collar,married,primary education,yes,yes,telephone,1,no
50,blue-collar,married,secondary education,yes,yes,telephone,1,no
39,management,single,secondary education,no,no,telephone,1,no
30,unemployed,married,secondary education,no,no,telephone,1,no
55,blue-collar,married,primary education,yes,no,telephone,1,no
55,retired,single,secondary education,yes,no,telephone,1,no
41,technician,single,secondary education,yes,no,telephone,1,no
37,administration,married,secondary education,yes,no,telephone,1,no
35,technician,married,university education,no,yes,telephone,1,no
39,self-employed,married,secondary education,no,no,telephone,1,no
54,technician,single,university education,no,no,telephone,2,no
54,management,married,primary education,yes,no,telephone,1,no
54,blue-collar,divorced,primary education,no,no,telephone,1,no
34,services,married,secondary education,no,no,telephone,1,no
52,technician,married,secondary education,yes,no,telephone,1,no
41,administration,married,university education,yes,no,telephone,1,no
56,technician,married,primary education,yes,no,telephone,1,no
32,entrepreneur,married,secondary education,yes,no,telephone,1,no
38,administration,single,professional education,no,no,telephone,1,no
57,administration,married,university education,no,yes,telephone,1,no
44,administration,married,university education,yes,no,telephone,1,no
42,technician,single,professional education,no,no,telephone,1,no
57,administration,married,university education,yes,yes,telephone,1,no
40,blue-collar,married,secondary education,no,yes,telephone,1,no
35,administration,married,university education,yes,no,telephone,1,no
45,blue-collar,married,secondary education,yes,no,telephone,2,no
54,administration,married,secondary education,no,no,telephone,1,no
39,housemaid,married,primary education,no,yes,telephone,1,no
60,administration,married,secondary education,no,no,telephone,1,no
53,administration,single,professional education,no,no,telephone,1,no
55,blue-collar,married,primary education,no,no,telephone,2,no
55,technician,married,professional education,yes,no,telephone,1,no
50,management,married,university education,no,yes,telephone,1,no
45,services,married,secondary education,yes,no,telephone,1,no
